ASTAR: Stopping Powers and Range Tables for Alpha Particles

CARBON (amorphous, density 2.0 g/cm3)                                   

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

2.750E+02 3.432E+01 1.304E-02 3.433E+01 
3.000E+02 3.209E+01 1.198E-02 3.210E+01 
3.500E+02 2.853E+01 1.029E-02 2.854E+01 
4.000E+02 2.581E+01 9.027E-03 2.582E+01 
4.500E+02 2.367E+01 8.043E-03 2.367E+01 
5.000E+02 2.193E+01 7.251E-03 2.193E+01 
5.500E+02 2.049E+01 6.598E-03 2.050E+01 
6.000E+02 1.928E+01 6.049E-03 1.929E+01 
6.500E+02 1.825E+01 5.585E-03 1.826E+01 
7.000E+02 1.736E+01 5.189E-03 1.737E+01 
7.500E+02 1.659E+01 4.847E-03 1.659E+01 
8.000E+02 1.590E+01 4.548E-03 1.591E+01 
8.500E+02 1.530E+01 4.282E-03 1.530E+01 
9.000E+02 1.476E+01 4.046E-03 1.477E+01 
9.500E+02 1.428E+01 3.834E-03 1.428E+01 
1.000E+03 1.384E+01 3.643E-03 1.384E+01 

