 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 16, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\He_C_SRIM.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.0000E+00 g/cm3 = 1.0027E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   6.336E-01  3.889E-04   34.81 um     1.28 um     6055 A   
   8.00 MeV   5.728E-01  3.456E-04   43.11 um     1.75 um     7233 A   
   9.00 MeV   5.279E-01  3.113E-04   52.19 um     2.18 um     8519 A   
  10.00 MeV   4.858E-01  2.835E-04   62.06 um     2.60 um     9912 A   
  11.00 MeV   4.521E-01  2.605E-04   72.72 um     3.02 um     1.14 um  
  12.00 MeV   4.232E-01  2.411E-04   84.15 um     3.44 um     1.30 um  
  13.00 MeV   3.981E-01  2.245E-04   96.32 um     3.86 um     1.47 um  
  14.00 MeV   3.761E-01  2.101E-04  109.24 um     4.28 um     1.65 um  
  15.00 MeV   3.566E-01  1.976E-04  122.88 um     4.71 um     1.84 um  
  16.00 MeV   3.393E-01  1.865E-04  137.25 um     5.15 um     2.04 um  
  17.00 MeV   3.237E-01  1.766E-04  152.33 um     5.59 um     2.25 um  
  18.00 MeV   3.096E-01  1.678E-04  168.11 um     6.04 um     2.46 um  
  20.00 MeV   2.851E-01  1.527E-04  201.76 um     7.73 um     2.92 um  
  22.50 MeV   2.599E-01  1.374E-04  247.66 um    10.14 um     3.55 um  
  25.00 MeV   2.391E-01  1.250E-04  297.79 um    12.42 um     4.23 um  
  27.50 MeV   2.216E-01  1.147E-04  352.07 um    14.65 um     4.96 um  
  30.00 MeV   2.068E-01  1.061E-04  410.43 um    16.87 um     5.74 um  
  32.50 MeV   1.940E-01  9.868E-05  472.82 um    19.09 um     6.58 um  
  35.00 MeV   1.828E-01  9.230E-05  539.18 um    21.34 um     7.46 um  
  37.50 MeV   1.729E-01  8.673E-05  609.47 um    23.61 um     8.39 um  
  40.00 MeV   1.641E-01  8.181E-05  683.64 um    25.90 um     9.37 um  
  45.00 MeV   1.492E-01  7.355E-05  843.33 um    34.50 um    11.48 um  
  50.00 MeV   1.370E-01  6.686E-05    1.02 mm    42.58 um    13.77 um  
  55.00 MeV   1.268E-01  6.132E-05    1.21 mm    50.47 um    16.24 um  
  60.00 MeV   1.182E-01  5.667E-05    1.41 mm    58.31 um    18.89 um  
  65.00 MeV   1.107E-01  5.270E-05    1.63 mm    66.17 um    21.72 um  
  70.00 MeV   1.042E-01  4.927E-05    1.86 mm    74.09 um    24.72 um  
  80.00 MeV   9.348E-02  4.364E-05    2.37 mm   103.41 um    31.23 um  
  90.00 MeV   8.492E-02  3.920E-05    2.93 mm   130.72 um    38.40 um  
 100.00 MeV   7.794E-02  3.561E-05    3.54 mm   157.37 um    46.21 um  
 110.00 MeV   7.213E-02  3.265E-05    4.21 mm   183.90 um    54.65 um  
 120.00 MeV   6.721E-02  3.015E-05    4.93 mm   210.55 um    63.70 um  
 130.00 MeV   6.298E-02  2.803E-05    5.70 mm   237.46 um    73.35 um  
 140.00 MeV   5.932E-02  2.619E-05    6.52 mm   264.69 um    83.58 um  
 150.00 MeV   5.610E-02  2.459E-05    7.38 mm   292.29 um    94.38 um  
 160.00 MeV   5.326E-02  2.318E-05    8.30 mm   320.27 um   105.74 um  
 170.00 MeV   5.073E-02  2.193E-05    9.26 mm   348.64 um   117.66 um  
 180.00 MeV   4.846E-02  2.081E-05   10.27 mm   377.41 um   130.11 um  
 200.00 MeV   4.455E-02  1.889E-05   12.42 mm   486.24 um   156.62 um  
 225.00 MeV   4.058E-02  1.696E-05   15.36 mm   641.49 um   192.63 um  
 250.00 MeV   3.735E-02  1.540E-05   18.57 mm   787.74 um   231.71 um  
 275.00 MeV   3.467E-02  1.411E-05   22.04 mm   930.29 um   273.75 um  
 300.00 MeV   3.242E-02  1.302E-05   25.77 mm     1.07 mm   318.63 um  
 325.00 MeV   3.048E-02  1.210E-05   29.74 mm     1.21 mm   366.24 um  
 350.00 MeV   2.881E-02  1.130E-05   33.96 mm     1.35 mm   416.49 um  
 375.00 MeV   2.735E-02  1.060E-05   38.41 mm     1.50 mm   469.29 um  
 400.00 MeV   2.606E-02  9.992E-06   43.09 mm     1.64 mm   524.56 um  
 450.00 MeV   2.389E-02  8.964E-06   53.11 mm     2.17 mm   642.17 um  
 500.00 MeV   2.213E-02  8.134E-06   63.98 mm     2.67 mm   768.69 um  
 550.00 MeV   2.067E-02  7.449E-06   75.67 mm     3.14 mm   903.56 um  
 600.00 MeV   1.945E-02  6.874E-06   88.13 mm     3.61 mm     1.05 mm  
 650.00 MeV   1.841E-02  6.384E-06  101.34 mm     4.07 mm     1.20 mm  
 700.00 MeV   1.751E-02  5.961E-06  115.26 mm     4.53 mm     1.35 mm  
 800.00 MeV   1.604E-02  5.268E-06  145.10 mm     6.20 mm     1.69 mm  
 900.00 MeV   1.488E-02  4.724E-06  177.46 mm     7.72 mm     2.04 mm  
   1.00 GeV   1.395E-02  4.285E-06  212.16 mm     9.16 mm     2.42 mm  
   1.10 GeV   1.319E-02  3.922E-06  249.02 mm    10.56 mm     2.81 mm  
   1.20 GeV   1.255E-02  3.618E-06  287.89 mm    11.92 mm     3.22 mm  
   1.30 GeV   1.201E-02  3.359E-06  328.62 mm    13.25 mm     3.65 mm  
   1.40 GeV   1.154E-02  3.136E-06  371.09 mm    14.56 mm     4.09 mm  
   1.50 GeV   1.114E-02  2.941E-06  415.18 mm    15.86 mm     4.54 mm  
   1.60 GeV   1.079E-02  2.770E-06  460.78 mm    17.14 mm     5.00 mm  
   1.70 GeV   1.048E-02  2.618E-06  507.79 mm    18.40 mm     5.47 mm  
   1.80 GeV   1.021E-02  2.483E-06  556.13 mm    19.65 mm     5.94 mm  
   2.00 GeV   9.742E-03  2.251E-06  656.41 mm    24.27 mm     6.91 mm  
   2.25 GeV   9.285E-03  2.017E-06  787.83 mm    30.61 mm     8.16 mm  
   2.50 GeV   8.924E-03  1.829E-06  925.14 mm    36.28 mm     9.43 mm  
   2.75 GeV   8.634E-03  1.673E-06    1.07 m     41.54 mm    10.71 mm  
   3.00 GeV   8.398E-03  1.543E-06    1.21 m     46.47 mm    12.01 mm  
   3.25 GeV   8.202E-03  1.432E-06    1.36 m     51.16 mm    13.30 mm  
   3.50 GeV   8.039E-03  1.337E-06    1.52 m     55.63 mm    14.60 mm  
   3.75 GeV   7.901E-03  1.253E-06    1.68 m     59.93 mm    15.90 mm  
   4.00 GeV   7.783E-03  1.180E-06    1.83 m     64.07 mm    17.18 mm  
   4.50 GeV   7.597E-03  1.057E-06    2.16 m     78.92 mm    19.74 mm  
   5.00 GeV   7.457E-03  9.579E-07    2.49 m     91.90 mm    22.26 mm  
   5.50 GeV   7.351E-03  8.763E-07    2.83 m    103.62 mm    24.73 mm  
   6.00 GeV   7.270E-03  8.078E-07    3.17 m    114.41 mm    27.15 mm  
   6.50 GeV   7.208E-03  7.495E-07    3.52 m    124.45 mm    29.51 mm  
   7.00 GeV   7.160E-03  6.993E-07    3.86 m    133.88 mm    31.83 mm  
   8.00 GeV   7.095E-03  6.171E-07    4.57 m    166.71 mm    36.31 mm  
   9.00 GeV   7.057E-03  5.527E-07    5.27 m    194.44 mm    40.59 mm  
  10.00 GeV   7.038E-03  5.007E-07    5.98 m    218.87 mm    44.69 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.9999E+01                 eV / Angstrom 
  1.9999E+02                keV / micron   
  1.9999E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.9945E+01                 eV / (1E15 atoms/cm2)
  1.7375E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
