IonEnergy(MeV) dE/dxElec(MeV/(mg/cm2)) dE/dxNuc(MeV/(mg/cm2)) ProjectedRange(um) LongitudinalStraggling(um) LateralStraggling(um)
27.50 1.580E-02 7.221E-06 4.20E03 184.92 175.06 
30.00 1.476E-02 6.677E-06 4.91E03 212.98 203.23 
32.50 1.386E-02 6.212E-06 5.66E03 241.23 233.17 
35.00 1.307E-02 5.810E-06 6.46E03 269.80 264.83 
37.50 1.238E-02 5.459E-06 7.30E03 298.76 298.18 
40.00 1.177E-02 5.150E-06 8.19E03 328.14 333.19 
45.00 1.074E-02 4.629E-06 10.10E03 432.32 408.06 
50.00 9.895E-03 4.208E-06 12.18E03 530.92 489.19 
55.00 9.191E-03 3.859E-06 14.43E03 627.42 576.34 
60.00 8.596E-03 3.566E-06 16.85E03 723.38 669.30 
65.00 8.085E-03 3.316E-06 19.42E03 819.57 767.89 
70.00 7.641E-03 3.100E-06 22.16E03 916.43 871.91 
80.00 6.909E-03 2.746E-06 28.07E03 1.26E03 1.10E03 
90.00 6.328E-03 2.467E-06 34.56E03 1.58E03 1.34E03 
100.00 5.857E-03 2.241E-06 41.62E03 1.89E03 1.60E03 
110.00 5.465E-03 2.054E-06 49.21E03 2.20E03 1.88E03 
120.00 5.135E-03 1.897E-06 57.32E03 2.50E03 2.18E03 
130.00 4.853E-03 1.763E-06 65.93E03 2.81E03 2.49E03 
140.00 4.609E-03 1.648E-06 75.01E03 3.12E03 2.82E03 
150.00 4.396E-03 1.547E-06 84.55E03 3.43E03 3.16E03 
160.00 4.208E-03 1.458E-06 94.54E03 3.74E03 3.52E03 
170.00 4.042E-03 1.380E-06 104.96E03 4.05E03 3.88E03 
180.00 3.892E-03 1.309E-06 115.79E03 4.37E03 4.26E03 
200.00 3.637E-03 1.189E-06 138.63E03 5.50E03 5.06E03 
225.00 3.380E-03 1.067E-06 169.27E03 7.08E03 6.11E03 
250.00 3.173E-03 9.685E-07 202.08E03 8.55E03 7.22E03 
275.00 3.002E-03 8.873E-07 236.90E03 9.95E03 8.39E03 
300.00 2.860E-03 8.190E-07 273.57E03 11.31E03 9.59E03 
325.00 2.739E-03 7.609E-07 311.96E03 12.64E03 10.84E03 
350.00 2.636E-03 7.107E-07 351.95E03 13.95E03 12.13E03 
375.00 2.546E-03 6.670E-07 393.43E03 15.23E03 13.44E03 
400.00 2.468E-03 6.284E-07 436.30E03 16.50E03 14.78E03 
450.00 2.338E-03 5.638E-07 525.80E03 20.98E03 17.54E03 
500.00 2.235E-03 5.115E-07 619.84E03 25.03E03 20.37E03 
550.00 2.152E-03 4.685E-07 717.86E03 28.80E03 23.25E03 
600.00 2.084E-03 4.323E-07 819.40E03 32.38E03 26.18E03 
650.00 2.027E-03 4.014E-07 924.02E03 35.79E03 29.13E03 
700.00 1.979E-03 3.749E-07 1.03E06 39.08E03 32.10E03 
800.00 1.904E-03 3.313E-07 1.25E06 50.43E03 38.06E03 
900.00 1.848E-03 2.970E-07 1.48E06 60.29E03 44.01E03 
1.00E03 1.805E-03 2.694E-07 1.72E06 69.20E03 49.91E03 
1.10E03 1.773E-03 2.466E-07 1.96E06 77.42E03 55.75E03 
1.20E03 1.748E-03 2.275E-07 2.20E06 85.10E03 61.49E03 
1.30E03 1.728E-03 2.112E-07 2.45E06 92.33E03 67.15E03 
1.40E03 1.712E-03 1.972E-07 2.70E06 99.19E03 72.70E03 
1.50E03 1.700E-03 1.849E-07 2.95E06 105.71E03 78.15E03 
