 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 16, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\p_SiC_SRIM.txt.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.1600E+00 g/cm3 = 9.4917E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    050.00    029.95   
     Si     14    050.00    070.05   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   5.435E-02  2.903E-05  202.08 um     8.68 um     8.36 um  
   6.50 MeV   5.113E-02  2.704E-05  231.99 um     9.81 um     9.52 um  
   7.00 MeV   4.831E-02  2.532E-05  263.71 um    10.96 um    10.76 um  
   8.00 MeV   4.360E-02  2.248E-05  332.44 um    14.95 um    13.42 um  
   9.00 MeV   3.980E-02  2.025E-05  408.17 um    18.71 um    16.32 um  
  10.00 MeV   3.666E-02  1.843E-05  490.76 um    22.40 um    19.47 um  
  11.00 MeV   3.403E-02  1.693E-05  580.06 um    26.09 um    22.86 um  
  12.00 MeV   3.179E-02  1.566E-05  675.97 um    29.81 um    26.47 um  
  13.00 MeV   2.985E-02  1.458E-05  778.38 um    33.57 um    30.31 um  
  14.00 MeV   2.816E-02  1.364E-05  887.20 um    37.40 um    34.38 um  
  15.00 MeV   2.666E-02  1.282E-05    1.00 mm    41.30 um    38.66 um  
  16.00 MeV   2.534E-02  1.210E-05    1.12 mm    45.26 um    43.16 um  
  17.00 MeV   2.415E-02  1.146E-05    1.25 mm    49.29 um    47.87 um  
  18.00 MeV   2.308E-02  1.089E-05    1.38 mm    53.40 um    52.80 um  
  20.00 MeV   2.123E-02  9.901E-06    1.67 mm    68.05 um    63.26 um  
  22.50 MeV   1.933E-02  8.905E-06    2.06 mm    88.94 um    77.47 um  
  25.00 MeV   1.778E-02  8.098E-06    2.48 mm   108.87 um    92.91 um  
  27.50 MeV   1.648E-02  7.430E-06    2.95 mm   128.49 um   109.54 um  
  30.00 MeV   1.538E-02  6.868E-06    3.44 mm   148.09 um   127.33 um  
  32.50 MeV   1.443E-02  6.389E-06    3.97 mm   167.81 um   146.26 um  
  35.00 MeV   1.361E-02  5.974E-06    4.53 mm   187.74 um   166.30 um  
  37.50 MeV   1.289E-02  5.612E-06    5.13 mm   207.93 um   187.42 um  
  40.00 MeV   1.225E-02  5.293E-06    5.76 mm   228.40 um   209.61 um  
  45.00 MeV   1.116E-02  4.757E-06    7.11 mm   301.89 um   257.10 um  
  50.00 MeV   1.028E-02  4.323E-06    8.58 mm   371.30 um   308.61 um  
  55.00 MeV   9.542E-03  3.964E-06   10.17 mm   439.15 um   364.00 um  
  60.00 MeV   8.919E-03  3.662E-06   11.88 mm   506.56 um   423.13 um  
  65.00 MeV   8.385E-03  3.405E-06   13.71 mm   574.10 um   485.89 um  
  70.00 MeV   7.922E-03  3.183E-06   15.65 mm   642.05 um   552.14 um  
  80.00 MeV   7.158E-03  2.818E-06   19.84 mm   884.73 um   694.75 um  
  90.00 MeV   6.552E-03  2.531E-06   24.45 mm     1.11 mm   850.17 um  
 100.00 MeV   6.061E-03  2.298E-06   29.46 mm     1.33 mm     1.02 mm  
 110.00 MeV   5.653E-03  2.106E-06   34.85 mm     1.55 mm     1.20 mm  
 120.00 MeV   5.310E-03  1.945E-06   40.62 mm     1.76 mm     1.39 mm  
 130.00 MeV   5.016E-03  1.808E-06   46.73 mm     1.98 mm     1.59 mm  
 140.00 MeV   4.763E-03  1.689E-06   53.19 mm     2.20 mm     1.80 mm  
 150.00 MeV   4.541E-03  1.586E-06   59.98 mm     2.41 mm     2.01 mm  
 160.00 MeV   4.346E-03  1.494E-06   67.09 mm     2.63 mm     2.24 mm  
 170.00 MeV   4.173E-03  1.414E-06   74.51 mm     2.86 mm     2.48 mm  
 180.00 MeV   4.018E-03  1.341E-06   82.22 mm     3.08 mm     2.72 mm  
 200.00 MeV   3.753E-03  1.218E-06   98.48 mm     3.88 mm     3.23 mm  
 225.00 MeV   3.486E-03  1.093E-06  120.32 mm     5.01 mm     3.91 mm  
 250.00 MeV   3.270E-03  9.916E-07  143.70 mm     6.05 mm     4.62 mm  
 275.00 MeV   3.093E-03  9.083E-07  168.53 mm     7.04 mm     5.37 mm  
 300.00 MeV   2.946E-03  8.383E-07  194.69 mm     8.01 mm     6.15 mm  
 325.00 MeV   2.820E-03  7.787E-07  222.09 mm     8.95 mm     6.95 mm  
 350.00 MeV   2.713E-03  7.273E-07  250.63 mm     9.88 mm     7.77 mm  
 375.00 MeV   2.620E-03  6.824E-07  280.26 mm    10.79 mm     8.62 mm  
