IonEnergy(MeV) dE/dxElec(MeV/(mg/cm2)) dE/dxNuc(MeV/(mg/cm2)) ProjectedRange(um) LongitudinalStraggling(um) LateralStraggling(um)
27.50 1.808E-02 7.918E-06 4.20E03 180.36 109.95 
30.00 1.685E-02 7.316E-06 4.92E03 208.12 128.12 
32.50 1.579E-02 6.802E-06 5.68E03 236.03 147.48 
35.00 1.487E-02 6.358E-06 6.50E03 264.20 168.01 
37.50 1.407E-02 5.971E-06 7.36E03 292.70 189.69 
40.00 1.336E-02 5.629E-06 8.27E03 321.58 212.49 
45.00 1.215E-02 5.056E-06 10.23E03 427.86 261.38 
50.00 1.117E-02 4.592E-06 12.37E03 527.80 314.51 
55.00 1.036E-02 4.209E-06 14.69E03 625.27 371.74 
60.00 9.675E-03 3.887E-06 17.19E03 721.95 432.93 
65.00 9.087E-03 3.612E-06 19.85E03 818.65 497.95 
70.00 8.578E-03 3.375E-06 22.68E03 915.84 566.68 
80.00 7.739E-03 2.986E-06 28.81E03 1.27E03 714.86 
90.00 7.076E-03 2.680E-06 35.56E03 1.60E03 876.63 
100.00 6.538E-03 2.433E-06 42.90E03 1.92E03 1.05E03 
110.00 6.093E-03 2.229E-06 50.82E03 2.23E03 1.24E03 
120.00 5.718E-03 2.058E-06 59.28E03 2.54E03 1.44E03 
130.00 5.398E-03 1.912E-06 68.27E03 2.85E03 1.65E03 
140.00 5.121E-03 1.785E-06 77.77E03 3.17E03 1.86E03 
150.00 4.880E-03 1.676E-06 87.76E03 3.48E03 2.09E03 
160.00 4.668E-03 1.579E-06 98.22E03 3.80E03 2.33E03 
170.00 4.479E-03 1.493E-06 109.14E03 4.12E03 2.58E03 
180.00 4.311E-03 1.416E-06 120.51E03 4.44E03 2.84E03 
200.00 4.023E-03 1.285E-06 144.50E03 5.62E03 3.37E03 
225.00 3.732E-03 1.153E-06 176.73E03 7.27E03 4.08E03 
250.00 3.499E-03 1.046E-06 211.29E03 8.80E03 4.84E03 
275.00 3.307E-03 9.575E-07 248.01E03 10.26E03 5.63E03 
300.00 3.146E-03 8.835E-07 286.73E03 11.67E03 6.45E03 
