 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 16, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\p_C_SRIM.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.0000E+00 g/cm3 = 1.0027E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   6.163E-02  3.126E-05  277.18 um    11.58 um     7.95 um  
   6.50 MeV   5.786E-02  2.910E-05  318.97 um    13.11 um     9.09 um  
   7.00 MeV   5.456E-02  2.723E-05  363.39 um    14.66 um    10.30 um  
   8.00 MeV   4.907E-02  2.416E-05  459.87 um    20.25 um    12.91 um  
   9.00 MeV   4.466E-02  2.173E-05  566.52 um    25.48 um    15.78 um  
  10.00 MeV   4.104E-02  1.977E-05  683.13 um    30.60 um    18.90 um  
  11.00 MeV   3.801E-02  1.814E-05  809.53 um    35.71 um    22.26 um  
  12.00 MeV   3.543E-02  1.678E-05  945.56 um    40.86 um    25.87 um  
  13.00 MeV   3.321E-02  1.561E-05    1.09 mm    46.08 um    29.70 um  
  14.00 MeV   3.128E-02  1.460E-05    1.25 mm    51.37 um    33.78 um  
  15.00 MeV   2.958E-02  1.372E-05    1.41 mm    56.75 um    38.07 um  
  16.00 MeV   2.807E-02  1.294E-05    1.58 mm    62.22 um    42.60 um  
  17.00 MeV   2.672E-02  1.225E-05    1.77 mm    67.78 um    47.34 um  
  18.00 MeV   2.551E-02  1.163E-05    1.96 mm    73.44 um    52.31 um  
  20.00 MeV   2.341E-02  1.057E-05    2.37 mm    94.31 um    62.89 um  
  22.50 MeV   2.128E-02  9.501E-06    2.92 mm   124.16 um    77.30 um  
  25.00 MeV   1.953E-02  8.635E-06    3.54 mm   152.51 um    93.00 um  
  27.50 MeV   1.808E-02  7.918E-06    4.20 mm   180.36 um   109.95 um  
  30.00 MeV   1.685E-02  7.316E-06    4.92 mm   208.12 um   128.12 um  
  32.50 MeV   1.579E-02  6.802E-06    5.68 mm   236.03 um   147.48 um  
  35.00 MeV   1.487E-02  6.358E-06    6.50 mm   264.20 um   168.01 um  
  37.50 MeV   1.407E-02  5.971E-06    7.36 mm   292.70 um   189.69 um  
  40.00 MeV   1.336E-02  5.629E-06    8.27 mm   321.58 um   212.49 um  
  45.00 MeV   1.215E-02  5.056E-06   10.23 mm   427.86 um   261.38 um  
  50.00 MeV   1.117E-02  4.592E-06   12.37 mm   527.80 um   314.51 um  
  55.00 MeV   1.036E-02  4.209E-06   14.69 mm   625.27 um   371.74 um  
  60.00 MeV   9.675E-03  3.887E-06   17.19 mm   721.95 um   432.93 um  
  65.00 MeV   9.087E-03  3.612E-06   19.85 mm   818.65 um   497.95 um  
  70.00 MeV   8.578E-03  3.375E-06   22.68 mm   915.84 um   566.68 um  
  80.00 MeV   7.739E-03  2.986E-06   28.81 mm     1.27 mm   714.86 um  
  90.00 MeV   7.076E-03  2.680E-06   35.56 mm     1.60 mm   876.63 um  
 100.00 MeV   6.538E-03  2.433E-06   42.90 mm     1.92 mm     1.05 mm  
 110.00 MeV   6.093E-03  2.229E-06   50.82 mm     2.23 mm     1.24 mm  
 120.00 MeV   5.718E-03  2.058E-06   59.28 mm     2.54 mm     1.44 mm  
 130.00 MeV   5.398E-03  1.912E-06   68.27 mm     2.85 mm     1.65 mm  
 140.00 MeV   5.121E-03  1.785E-06   77.77 mm     3.17 mm     1.86 mm  
 150.00 MeV   4.880E-03  1.676E-06   87.76 mm     3.48 mm     2.09 mm  
 160.00 MeV   4.668E-03  1.579E-06   98.22 mm     3.80 mm     2.33 mm  
 170.00 MeV   4.479E-03  1.493E-06  109.14 mm     4.12 mm     2.58 mm  
 180.00 MeV   4.311E-03  1.416E-06  120.51 mm     4.44 mm     2.84 mm  
 200.00 MeV   4.023E-03  1.285E-06  144.50 mm     5.62 mm     3.37 mm  
 225.00 MeV   3.732E-03  1.153E-06  176.73 mm     7.27 mm     4.08 mm  
 250.00 MeV   3.499E-03  1.046E-06  211.29 mm     8.80 mm     4.84 mm  
 275.00 MeV   3.307E-03  9.575E-07  248.01 mm    10.26 mm     5.63 mm  
 300.00 MeV   3.146E-03  8.835E-07  286.73 mm    11.67 mm     6.45 mm  
 325.00 MeV   3.010E-03  8.204E-07  327.31 mm    13.05 mm     7.29 mm  
 350.00 MeV   2.893E-03  7.660E-07  369.63 mm    14.40 mm     8.17 mm  
 375.00 MeV   2.792E-03  7.185E-07  413.56 mm    15.73 mm     9.07 mm  
 400.00 MeV   2.704E-03  6.768E-07  459.01 mm    17.04 mm     9.98 mm  
 450.00 MeV   2.558E-03  6.068E-07  554.01 mm    21.79 mm    11.87 mm  
 500.00 MeV   2.441E-03  5.503E-07  653.99 mm    26.06 mm    13.81 mm  
 550.00 MeV   2.347E-03  5.037E-07  758.36 mm    30.04 mm    15.79 mm  
 600.00 MeV   2.269E-03  4.646E-07  866.62 mm    33.81 mm    17.80 mm  
 650.00 MeV   2.204E-03  4.313E-07  978.33 mm    37.41 mm    19.84 mm  
 700.00 MeV   2.149E-03  4.025E-07    1.09 m     40.87 mm    21.89 mm  
 800.00 MeV   2.063E-03  3.555E-07    1.33 m     53.05 mm    26.02 mm  
 900.00 MeV   1.998E-03  3.186E-07    1.58 m     63.61 mm    30.16 mm  
   1.00 GeV   1.948E-03  2.888E-07    1.83 m     73.15 mm    34.27 mm  
   1.10 GeV   1.909E-03  2.643E-07    2.09 m     81.97 mm    38.35 mm  
   1.20 GeV   1.878E-03  2.437E-07    2.35 m     90.21 mm    42.38 mm  
   1.30 GeV   1.854E-03  2.262E-07    2.62 m     97.98 mm    46.35 mm  
   1.40 GeV   1.834E-03  2.111E-07    2.89 m    105.36 mm    50.26 mm  
   1.50 GeV   1.818E-03  1.979E-07    3.17 m    112.39 mm    54.10 mm  
   1.60 GeV   1.805E-03  1.863E-07    3.44 m    119.11 mm    57.88 mm  
   1.70 GeV   1.795E-03  1.761E-07    3.72 m    125.55 mm    61.60 mm  
   1.80 GeV   1.786E-03  1.669E-07    4.00 m    131.75 mm    65.24 mm  
   2.00 GeV   1.774E-03  1.513E-07    4.56 m    154.08 mm    72.34 mm  
   2.25 GeV   1.764E-03  1.355E-07    5.27 m    183.89 mm    80.86 mm  
   2.50 GeV   1.759E-03  1.228E-07    5.98 m    209.72 mm    89.01 mm  
   2.75 GeV   1.757E-03  1.123E-07    6.69 m    232.78 mm    96.82 mm  
   3.00 GeV   1.758E-03  1.035E-07    7.40 m    253.79 mm   104.31 mm  
   3.25 GeV   1.759E-03  9.603E-08    8.11 m    273.16 mm   111.50 mm  
   3.50 GeV   1.762E-03  8.959E-08    8.82 m    291.22 mm   118.44 mm  
   3.75 GeV   1.766E-03  8.398E-08    9.53 m    308.16 mm   125.12 mm  
   4.00 GeV   1.770E-03  7.905E-08   10.23 m    324.15 mm   131.57 mm  
   4.50 GeV   1.779E-03  7.079E-08   11.64 m    380.77 mm   143.86 mm  
   5.00 GeV   1.789E-03  6.412E-08   13.04 m    429.52 mm   155.41 mm  
   5.50 GeV   1.799E-03  5.864E-08   14.44 m    472.82 mm   166.33 mm  
   6.00 GeV   1.808E-03  5.404E-08   15.82 m    512.07 mm   176.69 mm  
   6.50 GeV   1.818E-03  5.012E-08   17.20 m    548.14 mm   186.54 mm  
   7.00 GeV   1.828E-03  4.675E-08   18.57 m    581.63 mm   195.96 mm  
   8.00 GeV   1.846E-03  4.124E-08   21.29 m    697.77 mm   213.64 mm  
   9.00 GeV   1.863E-03  3.691E-08   23.99 m    795.41 mm   230.01 mm  
  10.00 GeV   1.879E-03  3.343E-08   26.66 m    880.85 mm   245.29 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.9999E+01                 eV / Angstrom 
  1.9999E+02                keV / micron   
  1.9999E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.9945E+01                 eV / (1E15 atoms/cm2)
  1.0523E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
