ASTAR: Stopping Powers and Range Tables for Alpha Particles

SILICON                                                                 

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

3.000E-01 1.359E+03 5.047E+00 1.364E+03 
3.500E-01 1.390E+03 4.468E+00 1.395E+03 
4.000E-01 1.408E+03 4.016E+00 1.412E+03 
4.500E-01 1.416E+03 3.653E+00 1.420E+03 
5.000E-01 1.417E+03 3.355E+00 1.420E+03 
5.500E-01 1.413E+03 3.105E+00 1.416E+03 
6.000E-01 1.405E+03 2.893E+00 1.408E+03 
6.500E-01 1.395E+03 2.709E+00 1.398E+03 
7.000E-01 1.383E+03 2.549E+00 1.386E+03 
7.500E-01 1.370E+03 2.409E+00 1.372E+03 
8.000E-01 1.356E+03 2.284E+00 1.358E+03 
8.500E-01 1.341E+03 2.172E+00 1.343E+03 
9.000E-01 1.326E+03 2.071E+00 1.328E+03 
9.500E-01 1.310E+03 1.980E+00 1.312E+03 
1.000E+00 1.295E+03 1.897E+00 1.296E+03 
1.250E+00 1.218E+03 1.574E+00 1.219E+03 
1.500E+00 1.146E+03 1.350E+00 1.148E+03 
1.750E+00 1.081E+03 1.185E+00 1.082E+03 
2.000E+00 1.023E+03 1.058E+00 1.024E+03 
2.250E+00 9.706E+02 9.568E-01 9.715E+02 
2.500E+00 9.239E+02 8.743E-01 9.248E+02 
2.750E+00 8.814E+02 8.057E-01 8.822E+02 
3.000E+00 8.424E+02 7.476E-01 8.432E+02 
3.500E+00 7.731E+02 6.546E-01 7.738E+02 
4.000E+00 7.131E+02 5.832E-01 7.137E+02 
4.500E+00 6.612E+02 5.266E-01 6.618E+02 
5.000E+00 6.174E+02 4.805E-01 6.179E+02 
5.500E+00 5.797E+02 4.422E-01 5.802E+02 
6.000E+00 5.470E+02 4.098E-01 5.474E+02 
6.500E+00 5.182E+02 3.821E-01 5.186E+02 
7.000E+00 4.927E+02 3.581E-01 4.931E+02 
7.500E+00 4.700E+02 3.371E-01 4.703E+02 
8.000E+00 4.495E+02 3.185E-01 4.498E+02 
8.500E+00 4.309E+02 3.020E-01 4.312E+02 
9.000E+00 4.140E+02 2.872E-01 4.143E+02 
9.500E+00 3.986E+02 2.738E-01 3.989E+02 
1.000E+01 3.844E+02 2.617E-01 3.847E+02 
1.250E+01 3.278E+02 2.148E-01 3.280E+02 
1.500E+01 2.872E+02 1.827E-01 2.874E+02 
1.750E+01 2.565E+02 1.593E-01 2.567E+02 
2.000E+01 2.325E+02 1.414E-01 2.326E+02 
2.500E+01 1.968E+02 1.158E-01 1.969E+02 
2.750E+01 1.832E+02 1.063E-01 1.833E+02 
3.000E+01 1.715E+02 9.825E-02 1.716E+02 
3.500E+01 1.526E+02 8.549E-02 1.526E+02 
4.000E+01 1.377E+02 7.576E-02 1.378E+02 
4.500E+01 1.258E+02 6.809E-02 1.259E+02 
5.000E+01 1.159E+02 6.186E-02 1.160E+02 
5.500E+01 1.077E+02 5.671E-02 1.077E+02 
6.000E+01 1.006E+02 5.237E-02 1.007E+02 
6.500E+01 9.454E+01 4.867E-02 9.458E+01 
7.000E+01 8.922E+01 4.547E-02 8.926E+01 
7.500E+01 8.453E+01 4.267E-02 8.457E+01 
8.000E+01 8.036E+01 4.021E-02 8.040E+01 
8.500E+01 7.662E+01 3.803E-02 7.666E+01 
9.000E+01 7.326E+01 3.607E-02 7.330E+01 
9.500E+01 7.021E+01 3.431E-02 7.025E+01 
1.000E+02 6.744E+01 3.272E-02 6.747E+01 
1.250E+02 5.659E+01 2.659E-02 5.662E+01 
1.500E+02 4.905E+01 2.241E-02 4.908E+01 
1.750E+02 4.349E+01 1.939E-02 4.351E+01 
2.000E+02 3.920E+01 1.710E-02 3.922E+01 
2.250E+02 3.580E+01 1.529E-02 3.581E+01 
2.500E+02 3.302E+01 1.383E-02 3.303E+01 
2.750E+02 3.070E+01 1.263E-02 3.072E+01 
3.000E+02 2.875E+01 1.162E-02 2.876E+01 
3.500E+02 2.562E+01 1.002E-02 2.563E+01 
4.000E+02 2.323E+01 8.807E-03 2.324E+01 
4.500E+02 2.133E+01 7.862E-03 2.134E+01 
5.000E+02 1.979E+01 7.101E-03 1.980E+01 
5.500E+02 1.852E+01 6.475E-03 1.853E+01 
6.000E+02 1.745E+01 5.949E-03 1.745E+01 
6.500E+02 1.653E+01 5.501E-03 1.654E+01 
7.000E+02 1.574E+01 5.115E-03 1.575E+01 
7.500E+02 1.505E+01 4.780E-03 1.506E+01 
8.000E+02 1.444E+01 4.485E-03 1.445E+01 
8.500E+02 1.391E+01 4.226E-03 1.391E+01 
9.000E+02 1.343E+01 3.995E-03 1.343E+01 
9.500E+02 1.299E+01 3.789E-03 1.300E+01 
1.000E+03 1.260E+01 3.603E-03 1.261E+01 

