PSTAR: Stopping Powers and Range Tables for Protons

CARBON (amorphous, density 2.0 g/cm3)                                   

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

2.750E+02 3.284E+00 8.349E-04 3.285E+00 
3.000E+02 3.125E+00 7.686E-04 3.126E+00 
3.500E+02 2.875E+00 6.638E-04 2.875E+00 
4.000E+02 2.687E+00 5.847E-04 2.688E+00 
4.500E+02 2.542E+00 5.228E-04 2.542E+00 
5.000E+02 2.426E+00 4.730E-04 2.427E+00 
5.500E+02 2.333E+00 4.321E-04 2.333E+00 
6.000E+02 2.256E+00 3.979E-04 2.256E+00 
6.500E+02 2.191E+00 3.688E-04 2.192E+00 
7.000E+02 2.137E+00 3.438E-04 2.137E+00 
7.500E+02 2.091E+00 3.220E-04 2.091E+00 
8.000E+02 2.051E+00 3.029E-04 2.051E+00 
8.500E+02 2.016E+00 2.860E-04 2.016E+00 
9.000E+02 1.986E+00 2.710E-04 1.986E+00 
9.500E+02 1.960E+00 2.575E-04 1.960E+00 
1.000E+03 1.937E+00 2.453E-04 1.937E+00 
1.500E+03 1.807E+00 1.672E-04 1.808E+00 
2.000E+03 1.763E+00 1.275E-04 1.763E+00 
2.500E+03 1.748E+00 1.034E-04 1.748E+00 
3.000E+03 1.746E+00 8.710E-05 1.746E+00 
4.000E+03 1.759E+00 6.650E-05 1.759E+00 
5.000E+03 1.778E+00 5.395E-05 1.778E+00 
6.000E+03 1.799E+00 4.548E-05 1.799E+00 
7.000E+03 1.819E+00 3.937E-05 1.819E+00 
8.000E+03 1.837E+00 3.474E-05 1.837E+00 
9.000E+03 1.855E+00 3.112E-05 1.855E+00 
1.000E+04 1.871E+00 2.820E-05 1.871E+00 

