 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 16, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\He_SiC_SRIM.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  3.1600E+00 g/cm3 = 9.4917E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    050.00    029.95   
     Si     14    050.00    070.05   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   5.636E-01  3.865E-04   23.90 um     9110 A      6331 A   
   7.00 MeV   5.364E-01  3.623E-04   26.77 um     1.01 um     6940 A   
   8.00 MeV   4.901E-01  3.223E-04   32.93 um     1.35 um     8242 A   
   9.00 MeV   4.526E-01  2.906E-04   39.64 um     1.66 um     9650 A   
  10.00 MeV   4.176E-01  2.649E-04   46.91 um     1.97 um     1.12 um  
  11.00 MeV   3.899E-01  2.435E-04   54.75 um     2.28 um     1.28 um  
  12.00 MeV   3.660E-01  2.255E-04   63.11 um     2.59 um     1.45 um  
  13.00 MeV   3.451E-01  2.101E-04   72.01 um     2.89 um     1.63 um  
  14.00 MeV   3.268E-01  1.968E-04   81.42 um     3.21 um     1.82 um  
  15.00 MeV   3.105E-01  1.851E-04   91.34 um     3.52 um     2.03 um  
  16.00 MeV   2.960E-01  1.748E-04  101.77 um     3.84 um     2.24 um  
  17.00 MeV   2.829E-01  1.656E-04  112.69 um     4.16 um     2.46 um  
  18.00 MeV   2.710E-01  1.574E-04  124.11 um     4.49 um     2.69 um  
  20.00 MeV   2.503E-01  1.434E-04  148.39 um     5.70 um     3.17 um  
  22.50 MeV   2.289E-01  1.291E-04  181.41 um     7.43 um     3.83 um  
  25.00 MeV   2.112E-01  1.175E-04  217.36 um     9.06 um     4.54 um  
  27.50 MeV   1.963E-01  1.079E-04  256.18 um    10.66 um     5.30 um  
  30.00 MeV   1.835E-01  9.982E-05  297.82 um    12.25 um     6.11 um  
  32.50 MeV   1.725E-01  9.292E-05  342.24 um    13.84 um     6.97 um  
  35.00 MeV   1.628E-01  8.695E-05  389.40 um    15.44 um     7.88 um  
  37.50 MeV   1.543E-01  8.173E-05  439.27 um    17.06 um     8.84 um  
  40.00 MeV   1.467E-01  7.713E-05  491.80 um    18.70 um     9.84 um  
  45.00 MeV   1.338E-01  6.938E-05  604.66 um    24.75 um    11.99 um  
  50.00 MeV   1.231E-01  6.311E-05  727.87 um    30.45 um    14.32 um  
  55.00 MeV   1.142E-01  5.792E-05  861.23 um    36.01 um    16.84 um  
  60.00 MeV   1.066E-01  5.354E-05    1.00 mm    41.52 um    19.52 um  
  65.00 MeV   1.000E-01  4.981E-05    1.16 mm    47.05 um    22.38 um  
  70.00 MeV   9.430E-02  4.659E-05    1.32 mm    52.61 um    25.40 um  
  80.00 MeV   8.479E-02  4.129E-05    1.67 mm    73.02 um    31.94 um  
  90.00 MeV   7.720E-02  3.711E-05    2.07 mm    92.04 um    39.12 um  
 100.00 MeV   7.098E-02  3.373E-05    2.49 mm   110.59 um    46.92 um  
 110.00 MeV   6.579E-02  3.094E-05    2.95 mm   129.04 um    55.32 um  
 120.00 MeV   6.139E-02  2.859E-05    3.45 mm   147.57 um    64.32 um  
 130.00 MeV   5.760E-02  2.658E-05    3.98 mm   166.26 um    73.88 um  
 140.00 MeV   5.431E-02  2.485E-05    4.55 mm   185.17 um    84.01 um  
 150.00 MeV   5.142E-02  2.334E-05    5.15 mm   204.32 um    94.69 um  
 160.00 MeV   4.886E-02  2.200E-05    5.78 mm   223.74 um   105.91 um  
 170.00 MeV   4.658E-02  2.082E-05    6.44 mm   243.42 um   117.66 um  
 180.00 MeV   4.453E-02  1.976E-05    7.14 mm   263.38 um   129.92 um  
 200.00 MeV   4.099E-02  1.795E-05    8.62 mm   338.15 um   155.98 um  
 225.00 MeV   3.739E-02  1.612E-05   10.64 mm   444.71 um   191.31 um  
 250.00 MeV   3.446E-02  1.464E-05   12.84 mm   545.15 um   229.58 um  
 275.00 MeV   3.202E-02  1.342E-05   15.22 mm   643.04 um   270.68 um  
 300.00 MeV   2.997E-02  1.239E-05   17.77 mm   739.93 um   314.48 um  
 325.00 MeV   2.820E-02  1.152E-05   20.49 mm   836.63 um   360.89 um  
